global_persona_index,age,persona_text,item_id,condition,score
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,32,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,32,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,32,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,35,control,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,35,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,35,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,34,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,34,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,34,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,33,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,33,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,33,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,20,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,20,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,20,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,18,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,18,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,18,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,27,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,27,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,27,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,9,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,9,predictive,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,9,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,11,control,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,11,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,11,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,7,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,7,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,7,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,29,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,29,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,29,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,16,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,16,predictive,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,16,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,6,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,6,predictive,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,6,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,28,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,28,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,28,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,17,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,17,predictive,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,17,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,1,control,1
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,1,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,1,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,10,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,10,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,10,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,19,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,19,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,19,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,26,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,26,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,26,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,8,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,8,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,8,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,21,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,21,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,21,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,38,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,38,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,38,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,36,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,36,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,36,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,31,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,31,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,31,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,30,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,30,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,30,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,37,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,37,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,37,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,39,control,1
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,39,predictive,1
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,39,explicit,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,24,control,1
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,24,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,24,explicit,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,23,control,1
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,23,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,23,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,4,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,4,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,4,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,15,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,15,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,15,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,3,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,3,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,3,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,12,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,12,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,12,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,40,control,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,40,predictive,2
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,40,explicit,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,2,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,2,predictive,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,2,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,13,control,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,13,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,13,explicit,4
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,5,control,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,5,predictive,3
0,12,A middle school student who attends the coding workshops and looks up to the advocate as a role model,5,explicit,3
