global_persona_index,age,persona_text,item_id,condition,score
0,18,A college freshman interested in studying automobile engineering,32,control,2
0,18,A college freshman interested in studying automobile engineering,32,predictive,3
0,18,A college freshman interested in studying automobile engineering,32,explicit,4
0,18,A college freshman interested in studying automobile engineering,35,control,3
0,18,A college freshman interested in studying automobile engineering,35,predictive,3
0,18,A college freshman interested in studying automobile engineering,35,explicit,4
0,18,A college freshman interested in studying automobile engineering,34,control,2
0,18,A college freshman interested in studying automobile engineering,34,predictive,3
0,18,A college freshman interested in studying automobile engineering,34,explicit,3
0,18,A college freshman interested in studying automobile engineering,33,control,3
0,18,A college freshman interested in studying automobile engineering,33,predictive,4
0,18,A college freshman interested in studying automobile engineering,33,explicit,4
0,18,A college freshman interested in studying automobile engineering,20,control,3
0,18,A college freshman interested in studying automobile engineering,20,predictive,3
0,18,A college freshman interested in studying automobile engineering,20,explicit,4
0,18,A college freshman interested in studying automobile engineering,18,control,2
0,18,A college freshman interested in studying automobile engineering,18,predictive,3
0,18,A college freshman interested in studying automobile engineering,18,explicit,3
0,18,A college freshman interested in studying automobile engineering,27,control,4
0,18,A college freshman interested in studying automobile engineering,27,predictive,3
0,18,A college freshman interested in studying automobile engineering,27,explicit,3
0,18,A college freshman interested in studying automobile engineering,9,control,2
0,18,A college freshman interested in studying automobile engineering,9,predictive,3
0,18,A college freshman interested in studying automobile engineering,9,explicit,3
0,18,A college freshman interested in studying automobile engineering,11,control,3
0,18,A college freshman interested in studying automobile engineering,11,predictive,4
0,18,A college freshman interested in studying automobile engineering,11,explicit,3
0,18,A college freshman interested in studying automobile engineering,7,control,3
0,18,A college freshman interested in studying automobile engineering,7,predictive,4
0,18,A college freshman interested in studying automobile engineering,7,explicit,2
0,18,A college freshman interested in studying automobile engineering,29,control,3
0,18,A college freshman interested in studying automobile engineering,29,predictive,3
0,18,A college freshman interested in studying automobile engineering,29,explicit,3
0,18,A college freshman interested in studying automobile engineering,16,control,2
0,18,A college freshman interested in studying automobile engineering,16,predictive,2
0,18,A college freshman interested in studying automobile engineering,16,explicit,3
0,18,A college freshman interested in studying automobile engineering,6,control,2
0,18,A college freshman interested in studying automobile engineering,6,predictive,3
0,18,A college freshman interested in studying automobile engineering,6,explicit,3
0,18,A college freshman interested in studying automobile engineering,28,control,3
0,18,A college freshman interested in studying automobile engineering,28,predictive,3
0,18,A college freshman interested in studying automobile engineering,28,explicit,3
0,18,A college freshman interested in studying automobile engineering,17,control,2
0,18,A college freshman interested in studying automobile engineering,17,predictive,3
0,18,A college freshman interested in studying automobile engineering,17,explicit,3
0,18,A college freshman interested in studying automobile engineering,1,control,1
0,18,A college freshman interested in studying automobile engineering,1,predictive,3
0,18,A college freshman interested in studying automobile engineering,1,explicit,3
0,18,A college freshman interested in studying automobile engineering,10,control,2
0,18,A college freshman interested in studying automobile engineering,10,predictive,3
0,18,A college freshman interested in studying automobile engineering,10,explicit,3
0,18,A college freshman interested in studying automobile engineering,19,control,3
0,18,A college freshman interested in studying automobile engineering,19,predictive,3
0,18,A college freshman interested in studying automobile engineering,19,explicit,3
0,18,A college freshman interested in studying automobile engineering,26,control,1
0,18,A college freshman interested in studying automobile engineering,26,predictive,2
0,18,A college freshman interested in studying automobile engineering,26,explicit,3
0,18,A college freshman interested in studying automobile engineering,8,control,3
0,18,A college freshman interested in studying automobile engineering,8,predictive,3
0,18,A college freshman interested in studying automobile engineering,8,explicit,4
0,18,A college freshman interested in studying automobile engineering,21,control,3
0,18,A college freshman interested in studying automobile engineering,21,predictive,2
0,18,A college freshman interested in studying automobile engineering,21,explicit,3
0,18,A college freshman interested in studying automobile engineering,38,control,3
0,18,A college freshman interested in studying automobile engineering,38,predictive,3
0,18,A college freshman interested in studying automobile engineering,38,explicit,3
0,18,A college freshman interested in studying automobile engineering,36,control,2
0,18,A college freshman interested in studying automobile engineering,36,predictive,3
0,18,A college freshman interested in studying automobile engineering,36,explicit,3
0,18,A college freshman interested in studying automobile engineering,31,control,2
0,18,A college freshman interested in studying automobile engineering,31,predictive,4
0,18,A college freshman interested in studying automobile engineering,31,explicit,3
0,18,A college freshman interested in studying automobile engineering,30,control,3
0,18,A college freshman interested in studying automobile engineering,30,predictive,3
0,18,A college freshman interested in studying automobile engineering,30,explicit,3
0,18,A college freshman interested in studying automobile engineering,37,control,3
0,18,A college freshman interested in studying automobile engineering,37,predictive,3
0,18,A college freshman interested in studying automobile engineering,37,explicit,3
0,18,A college freshman interested in studying automobile engineering,39,control,1
0,18,A college freshman interested in studying automobile engineering,39,predictive,1
0,18,A college freshman interested in studying automobile engineering,39,explicit,3
0,18,A college freshman interested in studying automobile engineering,24,control,1
0,18,A college freshman interested in studying automobile engineering,24,predictive,2
0,18,A college freshman interested in studying automobile engineering,24,explicit,2
0,18,A college freshman interested in studying automobile engineering,23,control,1
0,18,A college freshman interested in studying automobile engineering,23,predictive,3
0,18,A college freshman interested in studying automobile engineering,23,explicit,4
0,18,A college freshman interested in studying automobile engineering,4,control,3
0,18,A college freshman interested in studying automobile engineering,4,predictive,3
0,18,A college freshman interested in studying automobile engineering,4,explicit,3
0,18,A college freshman interested in studying automobile engineering,15,control,1
0,18,A college freshman interested in studying automobile engineering,15,predictive,4
0,18,A college freshman interested in studying automobile engineering,15,explicit,4
0,18,A college freshman interested in studying automobile engineering,3,control,3
0,18,A college freshman interested in studying automobile engineering,3,predictive,4
0,18,A college freshman interested in studying automobile engineering,3,explicit,3
0,18,A college freshman interested in studying automobile engineering,12,control,3
0,18,A college freshman interested in studying automobile engineering,12,predictive,3
0,18,A college freshman interested in studying automobile engineering,12,explicit,3
0,18,A college freshman interested in studying automobile engineering,40,control,2
0,18,A college freshman interested in studying automobile engineering,40,predictive,3
0,18,A college freshman interested in studying automobile engineering,40,explicit,3
0,18,A college freshman interested in studying automobile engineering,2,control,3
0,18,A college freshman interested in studying automobile engineering,2,predictive,4
0,18,A college freshman interested in studying automobile engineering,2,explicit,4
0,18,A college freshman interested in studying automobile engineering,13,control,3
0,18,A college freshman interested in studying automobile engineering,13,predictive,3
0,18,A college freshman interested in studying automobile engineering,13,explicit,3
0,18,A college freshman interested in studying automobile engineering,5,control,2
0,18,A college freshman interested in studying automobile engineering,5,predictive,4
0,18,A college freshman interested in studying automobile engineering,5,explicit,4
0,18,A college freshman interested in studying automobile engineering,14,control,2
0,18,A college freshman interested in studying automobile engineering,14,predictive,3
0,18,A college freshman interested in studying automobile engineering,14,explicit,3
0,18,A college freshman interested in studying automobile engineering,22,control,3
0,18,A college freshman interested in studying automobile engineering,22,predictive,4
0,18,A college freshman interested in studying automobile engineering,22,explicit,3
0,18,A college freshman interested in studying automobile engineering,25,control,3
0,18,A college freshman interested in studying automobile engineering,25,predictive,4
0,18,A college freshman interested in studying automobile engineering,25,explicit,4
1,18,A freshman in mathematics at an university,32,control,2
1,18,A freshman in mathematics at an university,32,predictive,4
1,18,A freshman in mathematics at an university,32,explicit,4
1,18,A freshman in mathematics at an university,35,control,4
1,18,A freshman in mathematics at an university,35,predictive,3
1,18,A freshman in mathematics at an university,35,explicit,3
1,18,A freshman in mathematics at an university,34,control,3
1,18,A freshman in mathematics at an university,34,predictive,3
1,18,A freshman in mathematics at an university,34,explicit,4
1,18,A freshman in mathematics at an university,33,control,3
1,18,A freshman in mathematics at an university,33,predictive,4
1,18,A freshman in mathematics at an university,33,explicit,4
1,18,A freshman in mathematics at an university,20,control,2
1,18,A freshman in mathematics at an university,20,predictive,3
1,18,A freshman in mathematics at an university,20,explicit,4
1,18,A freshman in mathematics at an university,18,control,2
1,18,A freshman in mathematics at an university,18,predictive,3
1,18,A freshman in mathematics at an university,18,explicit,3
1,18,A freshman in mathematics at an university,27,control,4
1,18,A freshman in mathematics at an university,27,predictive,3
1,18,A freshman in mathematics at an university,27,explicit,3
1,18,A freshman in mathematics at an university,9,control,2
1,18,A freshman in mathematics at an university,9,predictive,3
1,18,A freshman in mathematics at an university,9,explicit,3
1,18,A freshman in mathematics at an university,11,control,4
1,18,A freshman in mathematics at an university,11,predictive,4
1,18,A freshman in mathematics at an university,11,explicit,4
1,18,A freshman in mathematics at an university,7,control,3
1,18,A freshman in mathematics at an university,7,predictive,3
1,18,A freshman in mathematics at an university,7,explicit,2
1,18,A freshman in mathematics at an university,29,control,3
1,18,A freshman in mathematics at an university,29,predictive,3
1,18,A freshman in mathematics at an university,29,explicit,4
1,18,A freshman in mathematics at an university,16,control,2
1,18,A freshman in mathematics at an university,16,predictive,2
1,18,A freshman in mathematics at an university,16,explicit,3
1,18,A freshman in mathematics at an university,6,control,2
1,18,A freshman in mathematics at an university,6,predictive,3
1,18,A freshman in mathematics at an university,6,explicit,3
1,18,A freshman in mathematics at an university,28,control,3
1,18,A freshman in mathematics at an university,28,predictive,3
1,18,A freshman in mathematics at an university,28,explicit,4
1,18,A freshman in mathematics at an university,17,control,2
1,18,A freshman in mathematics at an university,17,predictive,2
1,18,A freshman in mathematics at an university,17,explicit,3
1,18,A freshman in mathematics at an university,1,control,1
1,18,A freshman in mathematics at an university,1,predictive,3
1,18,A freshman in mathematics at an university,1,explicit,3
1,18,A freshman in mathematics at an university,10,control,1
