global_persona_index,age,persona_text,item_id,condition,score
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,32,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,32,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,32,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,35,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,35,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,35,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,34,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,34,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,34,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,33,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,33,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,33,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,20,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,20,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,20,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,18,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,18,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,18,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,27,control,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,27,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,27,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,9,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,9,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,9,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,11,control,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,11,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,11,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,7,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,7,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,7,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,29,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,29,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,29,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,16,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,16,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,16,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,6,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,6,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,6,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,28,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,28,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,28,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,17,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,17,predictive,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,17,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,1,control,1
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,1,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,1,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,10,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,10,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,10,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,19,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,19,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,19,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,26,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,26,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,26,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,8,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,8,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,8,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,21,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,21,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,21,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,38,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,38,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,38,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,36,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,36,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,36,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,31,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,31,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,31,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,30,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,30,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,30,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,37,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,37,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,37,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,39,control,1
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,39,predictive,1
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,39,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,24,control,1
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,24,predictive,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,24,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,23,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,23,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,23,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,4,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,4,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,4,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,15,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,15,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,15,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,3,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,3,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,3,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,12,control,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,12,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,12,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,40,control,2
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,40,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,40,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,2,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,2,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,2,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,13,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,13,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,13,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,5,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,5,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,5,explicit,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,14,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,14,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,14,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,22,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,22,predictive,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,22,explicit,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,25,control,3
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,25,predictive,4
0,10,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,25,explicit,4
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,32,control,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,32,predictive,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,32,explicit,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,35,control,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,35,predictive,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,35,explicit,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,34,control,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,34,predictive,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,34,explicit,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,33,control,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,33,predictive,4
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,33,explicit,4
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,20,control,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,20,predictive,2
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,20,explicit,4
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,18,control,2
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,18,predictive,2
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,18,explicit,2
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,27,control,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,27,predictive,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,27,explicit,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,9,control,2
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,9,predictive,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,9,explicit,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,11,control,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,11,predictive,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,11,explicit,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,7,control,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,7,predictive,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,7,explicit,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,29,control,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,29,predictive,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,29,explicit,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,16,control,2
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,16,predictive,2
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,16,explicit,3
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,6,control,2
1,8,A shy and introverted third-grader who discovers the joy of reading through the librarian's recommendations,6,predictive,2
